event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-06-14,2018,Battles,Armed clash,Kenana Ethnic Militia (Sudan),Kenana Ethnic Militia (Sudan),Sudan,South Kordofan,"Over 14-16 June, conflict between members of the Kenana tribe occurred in El Jangur and Fatatat villages (both villages are in Abu Jubaiha locality, South Kordofan). The fighting involved firearms and blades. Across three days of fighting, a witness reported that 2 killed (on 15 June), 43 people were injured, 12 critically. On the third day, the state security forces intervened, arresting dozens, and conducting a disarmament exercise later on, on 21st June.",0,2018-Q2
2018-09-06,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Northern,"On 6th and 7th September, protesters gathered in Delgo (Northern state), to demonstrate against the killing of a man during riots at a football game the previous day. The killing had raised concern among the Nubian community.",0,2018-Q3
2018-08-27,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Gedaref,"From 27th to 30th August, students staged a sit-in protest at the University of El Gedaref (Gedaref state), following protests earlier in the month. The students were demonstrating against deteriorating conditions in the Faculty of Medicine. On 30th August, university administrators announced the indefinite suspension of classes in the faculty.",0,2018-Q3
2018-02-11,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,"A group of three armed herders shot at a farmer while he was collecting firewood near Dolo village north of Fanga, Tawila locality in North Darfur, on 11/02, leaving him injured",0,2018-Q1
2018-02-07,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,North Kordofan,Protests continue in El Obeid for a second day.,0,2018-Q1
2018-09-23,2018,Violence against civilians,Attack,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,Central Darfur,"23 September. Armed men wearing military fatigue attacked a group of people on their way home from the Tur market. The attackers, who arrived on horseback, shot and wounded two civilians. The perpetrators then robbed the group.",0,2018-Q3
2018-05-04,2018,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,Central Darfur,"On 4 May (date remains unclear), unidentified armed group abducted a farmer in Saga, Nertiti, Central Darfur.",0,2018-Q2
2018-01-03,2018,Violence against civilians,Attack,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,North Darfur,Armed herders shot and killed two men working at a brick factory in El Adradib El Ashara in North Darfur's Tawila locality. Reasons unclear.,2,2018-Q1
2018-02-15,2018,Violence against civilians,Attack,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,West Darfur,An unknown gunman shot dead a resident of the Kendebbe IDP camp in West Darfur's Sirba after he refused to hand over his belongings to him on his way home from prayers with a group of other IDPs.,1,2018-Q1
2018-09-16,2018,Violence against civilians,Attack,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,Central Darfur,"16 September. Armed men in four trucks attacked two farmers in Jebel Marrah. After shooting one and beating the other, the attackers abducted them.",0,2018-Q3
2018-06-14,2018,Battles,Armed clash,Kenana Ethnic Militia (Sudan),Kenana Ethnic Militia (Sudan),Sudan,South Kordofan,"Over 14-16 June, conflict between members of the Kenana tribe occurred in El Jangur and Fatatat villages (both villages are in Abu Jubaiha locality, South Kordofan). The fighting involved firearms and blades. Across three days of fighting, a witness reported that 2 killed (on 15 June), 43 people were injured, 12 critically. On the third day, the state security forces intervened, arresting dozens, and conducting a disarmament exercise later on, on 21st June.",0,2018-Q2
2018-02-03,2018,Strategic developments,Change to group/activity,Aheimer Militia,,Sudan,Central Darfur,"Change to armed group: A militant gunman named 'Aheimer', together with 27 men from the Shatta created a kind of administrative rule in the area of Abu Ajura by force of arms. The group set up a court system to impose fines and punishments.",0,2018-Q1
2018-09-07,2018,Protests,Peaceful protest,Protesters (Sudan),,Sudan,Northern,"On 6th and 7th September, protesters gathered in Delgo (Northern state), to demonstrate against the killing of a man during riots at a football game the previous day. The killing had raised concern among the Nubian community.",0,2018-Q3
2018-01-13,2018,Violence against civilians,Sexual violence,Unidentified Communal Militia (Sudan),Civilians (Sudan),Sudan,Central Darfur,"Unknown militiamen beat seven displaced women from the Hamidiya IDP camp, Zalingei locality in Central Darfur, and raped two of them.",0,2018-Q1
2018-09-19,2018,Strategic developments,Change to group/activity,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,Sudan,Central Darfur,19 September. SLM/A-Nur declared a unilateral cessation of hostilities to allow humanitarian access to those affected by landslides earlier in the month. The ceasefire was declared to be in effect for three months (until 18/12/2018).,0,2018-Q3
2018-07-13,2018,Strategic developments,Change to group/activity,UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),,Sudan,Central Darfur,"UNSC approves the extension of UNAMID mandate by one year, as well as the controversial reduction of personnel (from 8,735 to 4,050 personnel, with police being unchanged at 2,500 personnel). Most UNAMID sites to close in Darfur, and HQ will be transferred to Golo. However, troop reductions are contingent on improving security.",0,2018-Q3
2018-07-06,2018,Battles,Armed clash,Unidentified Armed Group (Sudan),Beni Halba Ethnic Militia (Sudan),Sudan,South Darfur,"On 5th and 6th July, violence between gunmen and members of the Beni Halba group took place in Sarfaya area of Edd Al Fursan locality, South Darfur (coordinates for Solwong used). According to a local source, the gunmen opened fire at the market following a verbal altercation with youths, causing the death of two members of the community. The following day, at the Halayeb area, Beni Halba militiamen killed three of the gunmen, and captured one.",3,2018-Q3
2018-07-05,2018,Violence against civilians,Attack,Unidentified Armed Group (Sudan),Civilians (Sudan),Sudan,South Darfur,"On 5th and 6th July, violence between gunmen and members of the Beni Halba group took place in Sarfaya area of Edd Al Fursan locality, South Darfur (coordinates for Solwong used). According to a local source, the gunmen opened fire at the market following a verbal altercation with youths, causing the death of two members of the community. The following day, at the Halayeb area, Beni Halba militiamen killed three of the gunmen, and captured one.",2,2018-Q3
