da,a,tipo,periodo,peso,categoria,titolo,fonte
RUS,UKR,cyber,,,Denial of service,Targeting of Ukrainian telecommunication company’s internet service,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian state bodies,cfr
RUS,UKR,cyber,,,Sabotage,Targeting of Ukrainian organizations with CaddyWiper,cfr
RUS,UKR,cyber,,,Sabotage,Targeting of Viasat’s satellite broadband service,cfr
RUS,UKR,cyber,,,Data destruction,"Targeting of Latvian, Lithuanian, and Ukrainian computer systems",cfr
RUS,UKR,cyber,,,Denial of service,Targeting of Ukrainian government websites,cfr
RUS,UKR,cyber,,,Data destruction,"Targeting of Ukrainian, Latvian, and Lithuanian computer systems",cfr
RUS,UKR,cyber,,,Denial of service,Targeting of Ukrainian banks and defense ministry,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian organizations and Western government entity,cfr
RUS,UKR,cyber,,,Data destruction,Targeting of Ukrainian government and information technology (IT) sector systems with WhisperGate malware,cfr
RUS,UKR,cyber,,,Defacement,Targeting of Ukrainian naval exercises,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian agencies in Russian spear-phishing campaign,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian elected officials by Russian-sponsored hackers,cfr
RUS,UKR,cyber,,,Espionage,Targeting of classified government data in Ukraine,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government document management system,cfr
RUS,UKR,cyber,,,Denial of service,Targeting of Ukrainian web servers,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government organizations,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukraine with coronavirus phishing emails,cfr
RUS,UKR,cyber,,,Sabotage,Intensified attacks against Ukrainian national security targets,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Burisma,cfr
RUS,UKR,cyber,,,Espionage,Targeting of Ukrainian government entities,cfr
RUS,UKR,cyber,2018-Q3,,Sabotage,Targeting of a chemical plant in Ukraine,cfr
RUS,UKR,cyber,2018-Q2,,Espionage,Targeting of financial and chemical organizations in Europe,cfr
RUS,UKR,cyber,2017-Q4,,Sabotage,Bad Rabbit,cfr
RUS,UKR,cyber,2017-Q1,,Espionage,Operation BugDrop,cfr
RUS,UKR,cyber,2016-Q4,,Espionage,Compromise of a mobile app used by Ukrainian artillery units,cfr
RUS,UKR,cyber,2016-Q4,,Sabotage,"A compromise causes a power outage in Kiev, Ukraine",cfr
RUS,UKR,cyber,2016-Q4,,Data destruction,Compromise of Ukrainian banks,cfr
RUS,UKR,cyber,2015-Q4,,Sabotage,Compromise of a power grid in eastern Ukraine,cfr
RUS,UKR,cyber,2015-Q2,,Espionage,Gamaredon,cfr
RUS,UKR,cyber,2015-Q1,,Espionage,Targeting of Ukrainian law enforcement and government officials,cfr
RUS,UKR,cyber,2014-Q4,,Espionage,Attempted compromise of Ukrainian email accounts,cfr
RUS,UKR,migrazione,2018,137,,,
RUS,UKR,migrazione,2019,122,,,
RUS,UKR,migrazione,2020,165,,,
RUS,UKR,migrazione,2021,175,,,
RUS,UKR,migrazione,2022,170,,,
RUS,UKR,migrazione,2023,197,,,
RUS,UKR,migrazione,2024,233,,,
RUS,UKR,coinvolgimento_militare,2018-Q4,10,,,
RUS,UKR,coinvolgimento_militare,2018-Q3,5,,,
RUS,UKR,coinvolgimento_militare,2018-Q1,6,,,
RUS,UKR,coinvolgimento_militare,2019-Q1,1,,,
RUS,UKR,coinvolgimento_militare,2021-Q2,5,,,
RUS,UKR,coinvolgimento_militare,2018-Q2,2,,,
RUS,UKR,coinvolgimento_militare,2022-Q1,2665,,,
RUS,UKR,coinvolgimento_militare,2022-Q2,7944,,,
RUS,UKR,coinvolgimento_militare,2019-Q3,1,,,
RUS,UKR,coinvolgimento_militare,2022-Q3,13606,,,
RUS,UKR,coinvolgimento_militare,2022-Q4,11830,,,
RUS,UKR,coinvolgimento_militare,2023-Q1,12527,,,
RUS,UKR,coinvolgimento_militare,2023-Q2,13758,,,
RUS,UKR,coinvolgimento_militare,2023-Q3,14500,,,
RUS,UKR,coinvolgimento_militare,2023-Q4,12871,,,
RUS,UKR,coinvolgimento_militare,2024-Q1,12914,,,
RUS,UKR,coinvolgimento_militare,2024-Q2,11787,,,
RUS,UKR,coinvolgimento_militare,2024-Q3,13892,,,
RUS,UKR,coinvolgimento_militare,2021-Q1,1,,,
RUS,UKR,coinvolgimento_militare,2024-Q4,14516,,,
RUS,DEU,cyber,2024-Q4,,Disruption,Russian threat actor NoName057(16) launched DDoS campaign against German companies on 17 December 2024,eurepoc
RUS,DEU,cyber,2024-Q2,,Hijacking without Misuse,"Russian State-Sponsored Hacker Group APT29 (aka Midnight Blizzard, Cozy Bear, Nobelium) targeted German Software company TeamViewer on 26 June 2024",eurepoc
RUS,DEU,cyber,2024-Q2,,Data theft;Hijacking with Misuse,LockBit Ransomware Group gained access to the IT infrastructure of the German Catholic Youth Welfare of the Diocese of Augsburg (KJF) on 17 April 2024,eurepoc
RUS,DEU,cyber,2023-Q4,,Data theft;Hijacking with Misuse,Russian-aligned threat actor TAG-70 targeted various governmental entities in Europe and Central Asia using Roundcube vulnerability in October 2023,eurepoc
RUS,DEU,cyber,2023-Q3,,Hijacking without Misuse,Russian ITG05 ( aka APT28 / Fancy Bear) compromised targets from 13 countries with Headlace backdoor between August and December 2023,eurepoc
RUS,DEU,cyber,2023-Q3,,Hijacking without Misuse,Russian APT-Gamaredon infected unspecified targets in Ukraine and other countries worldwide since autumn 2023 with USB propagating worm LitterDrifter,eurepoc
RUS,DEU,cyber,2023-Q4,,Data theft & Doxing;Disruption;Hijacking with Misuse;Ransomware,Russian cyber-crime group PLAY disrupted store KaDeWe in Berlin on 3 November 2023,eurepoc
RUS,DEU,cyber,2023-Q1,,Data theft;Hijacking without Misuse,Russian state hackers from APT28 gained access to a single-digit number of email inboxes of board members of the Social Democratic Party of Germany (SPD) in January 2023 in the context of a campaign against multiple EU member states,eurepoc
RUS,DEU,cyber,2023-Q2,,Data theft & Doxing;Disruption;Hijacking with Misuse,Pro-Russian hacktivist group Killnet claimed to have targeted NATO online resources with DDoS attacks in April 2023,eurepoc
RUS,DEU,cyber,2022-Q4,,Data theft & Doxing;Disruption;Hijacking with Misuse;Ransomware,German University of Applied Sciences Hamburg (HAW Hamburg) was attacked by Vice Society ransomware group in late December 2022,eurepoc
RUS,DEU,cyber,2023-Q1,,Disruption,Pro-Russian hacktivist group Killnet disrupted several hospital websites in Europe in January 2023,eurepoc
RUS,DEU,cyber,2023-Q1,,Disruption,Pro-Russian hacktivists group Killnet disrupted the websites of German private and state entitites on 25 January 2023,eurepoc
RUS,DEU,cyber,2022-Q2,,Disruption,Pro-Russian group Killnet targets German authorities and ministries with DDoS attacks in early May,eurepoc
RUS,DEU,cyber,2022-Q1,,Disruption;Hijacking with Misuse,Viasat Hack: Russian Military Intelligence disrupted Ukrainian satellite broadband services in February 2022,eurepoc
RUS,DEU,cyber,2020-Q1,,Hijacking without Misuse,TinyTurla,eurepoc
RUS,DEU,cyber,2014-Q4,,,APT 28,cfr
RUS,DEU,cyber,,,Espionage,Targeting of Ukrainian institutions and U.S. and European foreign policy institutions and think tanks,cfr
RUS,DEU,cyber,2019-Q1,,Espionage,Targeting of U.S. and European think tanks,cfr
RUS,DEU,cyber,2014-Q3,,Espionage,Turla,cfr
RUS,DEU,cyber,2014-Q3,,Espionage,Crouching Yeti,cfr
RUS,DEU,cyber,2018-Q2,,Espionage,Targeting of financial and chemical organizations in Europe,cfr
RUS,DEU,cyber,,,Espionage,"Targeting of Teamviewer, a German-based company that makes widely used remote-access tools for companies",cfr
RUS,DEU,cyber,,,Sabotage,"Targeting of Czech and German political entities, state institutions, critical infrastructure, and German companies in the logistics, armaments, aerospace, and IT sectors",cfr
RUS,DEU,cyber,,,Espionage,Targeting of German critical infrastructure owners,cfr
RUS,DEU,cyber,2018-Q4,,Doxing,"Targeting of emails of German lawmakers, military officials, and embassy staff",cfr
RUS,DEU,cyber,2018-Q3,,Espionage,Targeting of chemical research and media organizations in Germany,cfr
RUS,DEU,cyber,2018-Q2,,Espionage,Targeting of German critical infrastructure sectors,cfr
RUS,DEU,cyber,2018-Q1,,Espionage,Compromise of the German Foreign Office,cfr
RUS,DEU,cyber,2018-Q1,,Espionage,Compromise of an air-gapped German government network,cfr
RUS,DEU,migrazione,2018,8119,,,
RUS,DEU,migrazione,2019,8722,,,
RUS,DEU,migrazione,2020,9172,,,
RUS,DEU,migrazione,2021,9584,,,
RUS,DEU,migrazione,2022,12637,,,
RUS,DEU,migrazione,2023,17437,,,
RUS,DEU,migrazione,2024,18700,,,
RUS,DNK,cyber,2024-Q4,,Disruption,Unknown threat actors carried out a DDoS cyberattack against presumably multiple Danish municipalities on 9 December 2024,eurepoc
RUS,DNK,cyber,2017-Q3,,Data destruction,NotPetya,cfr
RUS,DNK,migrazione,2018,923,,,
RUS,DNK,migrazione,2019,855,,,
RUS,DNK,migrazione,2020,748,,,
RUS,DNK,migrazione,2021,630,,,
RUS,DNK,migrazione,2022,560,,,
RUS,DNK,migrazione,2023,314,,,
RUS,DNK,migrazione,2024,1077,,,
RUS,AFG,cyber,2022-Q4,,Data theft & Doxing;Disruption;Hijacking with Misuse,Russian state-sponsored hacking group Turla (also known as Secret Blizzard) breached the infrastructure of Pakistani threat actor Storm-0156 and hijacked their command and control servers to gain access into already compromised networks of the Afghan government beginning in December 2022,eurepoc
RUS,AFG,cyber,2022-Q1,,Data theft;Hijacking with Misuse,Suspected Russian state-sponsored hacking group gained access to foreign government institutions in Kazakhstan and unspecified targets in Afghanistan in late 2022,eurepoc
RUS,AFG,cyber,2020-Q1,,Hijacking without Misuse,TinyTurla,eurepoc
RUS,AFG,cyber,2014-Q4,,,APT 28,cfr
RUS,AFG,cyber,,,,DarkUniverse,cfr
RUS,PAK,cyber,2022-Q4,,Data theft & Doxing;Disruption;Hijacking with Misuse,Russian state-sponsored hacking group Turla (also known as Secret Blizzard) breached the infrastructure of Pakistani threat actor Storm-0156 and hijacked their command and control servers to gain access into already compromised networks of the Afghan government beginning in December 2022,eurepoc
RUS,PAK,cyber,2014-Q4,,,APT 28,cfr
RUS,PAK,migrazione,2018,7,,,
RUS,PAK,migrazione,2019,6,,,
RUS,PAK,migrazione,2020,6,,,
RUS,PAK,migrazione,2021,6,,,
RUS,PAK,migrazione,2022,6,,,
RUS,PAK,migrazione,2023,6,,,
RUS,PAK,migrazione,2024,6,,,
RUS,GBR,cyber,2024-Q1,,Data theft & Doxing;Hijacking with Misuse,Suspected Russian hackers stole e-mail adresses and login credentials of nearly 600 employees of the UK Ministry of Defence in November 2024,eurepoc
RUS,GBR,cyber,2024-Q4,,Disruption,Russian State-Sponsored Hacker Group Noname057(16) Launched A DDoS Campaign On Several Local UK Authorities Between 1 And 3 November 2024,eurepoc
RUS,GBR,cyber,2024-Q2,,Data theft & Doxing;Disruption;Hijacking with Misuse;Ransomware,Qilin Ransomware Group Targeted Healthcare Provider Synnovis in London With Ransomware Attack On 3 June 2024,eurepoc
RUS,GBR,cyber,2023-Q4,,Data theft;Hijacking with Misuse,Russian-aligned threat actor TAG-70 targeted various governmental entities in Europe and Central Asia using Roundcube vulnerability in October 2023,eurepoc
RUS,GBR,cyber,2023-Q4,,Disruption,Alleged Russian hacker group UserSec disrupted access to Manchester Airport website on 30 October 2023,eurepoc
RUS,GBR,cyber,2023-Q4,,Disruption,'KillNet' conducted DDoS attack against official website of UK royal family on 1 October 2023,eurepoc
RUS,GBR,cyber,2023-Q3,,Data theft & Doxing;Hijacking with Misuse;Ransomware,Russia-linked ransomware group 'Lockbit' stole 10 GB worth of information from UK security fence manufacturer Zaun beginning on 5 August 2023,eurepoc
