event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2023-01-30,2023,Protests,Peaceful protest,Protesters (China),,China,Jiangxi,"On 30 January 2023, around 100 taxi drivers drove together to the local Letters and Calls Bureau office in Donghu district (Nanchang, Jiangxi) to file petitions. They were dissatisfied that there were not sufficient gas stations and that gas prices were too high.",0,2023-Q1
2023-02-01,2023,Protests,Peaceful protest,Protesters (China),,China,Shandong,"Around 1 February 2023 (as reported), construction workers gathered to demonstrate in Qihe county (Dezhou, Shandong) to demand wage arrears.",0,2023-Q1
2023-02-01,2023,Protests,Peaceful protest,Protesters (China),,China,Hunan,"Around 1 February 2023 (as reported), employees of a supermarket gathered to demonstrate in Changsha city, Hunan (coded to Yuelu) to demand wage arrears.",0,2023-Q1
2022-10-10,2022,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (China),Civilians (China),China,Shandong,"On 10 October 2022, a 70-year-old male petitioner became incommunicado after unidentified people took him to a car outside the petition office of a police station in Shandong (coded to Lixia, Jinan). Before his arrest, he was discussing his petitions with the petition office's members. The measure was part of officials' campaign to stifle dissent before the 20th National Congress of the CCP in Beijing, scheduled to start on 16 October 2022.",0,2022-Q4
2022-09-20,2022,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (China),Civilians (China),China,Hubei,"On 20 September 2022, three unidentified men detained a petitioner in a psychiatric hospital in Wuhan for around three months, after taking him away from his farmland in Xinzhou district (Wuhan, Hubei). In the hospital, he was confined to the bed and was forced to take medicine, even though he had never received a diagnosis. The petitioner had been filing complaints against local government officials after they had blocked him from getting compensation for medical negligence that had caused his mother's death.",0,2022-Q3
2023-04-02,2023,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (China),Civilians (China),China,Hebei,"On 2 April 2023, six unknown persons detained a Shenyang-based female petitioner in a hostel in Shanhaiguan district (Qinhuangdao, Hebei), after refusing to be escorted back to Shenyang by Shenyang police officers. She was on her way to Beijing to commemorate her late father.",0,2023-Q2
2023-02-26,2023,Violence against civilians,Abduction/forced disappearance,Unidentified Triad Group (China),Civilians (China),China,Beijing,"On 26 February 2023, around ten triad members detained a Fuzhou-based petitioner in a hotel in Fuzhou for 17 days, after taking him away in Tongzhou district (Tongzhou, Beijing). He travelled to Beijing to get medical advice for his ill wife.",0,2023-Q1
2023-04-05,2023,Violence against civilians,Attack,Militia (Pro-Government),Civilians (China),China,Beijing,"On 5 April 2023, ten government-hired triad members beat up a Changzhou-based petitioner and her mother when they were seeking medical help at Peking University First Hospital in Beijing - Xicheng. The attackers then detained them in a black car for 10 hours, and did not allow them access to the toilet or food, before escorting back to Changzhou.",0,2023-Q2
2023-02-19,2023,Violence against civilians,Abduction/forced disappearance,Police Forces of China (2012-),Civilians (China),China,Hubei,"On 19 February 2023, a man became incommunicado after police took him away for 'picking quarrels and provoking trouble' in Wuhan city, Hubei (coded to Jiang'an). He had been one of the hundreds of retired persons who protested against the government lowering the amount of monthly medical benefits in Wuhan on 15 February 2023 (separately coded). The protest resulted in at least five demonstrators being arrested in the days that followed.",0,2023-Q1
2023-04-14,2023,Protests,Peaceful protest,Protesters (China),,China,Hong Kong,"On 14 April 2023, six construction workers demonstrated in Hong Kong - Wan Chai to demand wage arrears. One of them sat on the edge of the fence on the rooftop to demonstrate, whilst others gathered on their scaffolding and held a banner.",0,2023-Q2
2018-12-17,2018,Protests,Protest with intervention,Protesters (China),Police Forces of China (2012-),China,Beijing,"On 17 December 2018, 4 women family members of human rights lawyers detained as part of the '709 crackdown' shaved their heads in protest of the lack of rule of law in the handling of these cases. While shaving their heads, the women and journalists were harassed and dispersed by police. After that, the women petitioned at the Supreme People's Court in Dongcheng District (Beijing - Dongcheng), but were prevented from doing so by over a hundred people who gathered there to intercept them.",0,2018-Q4
