event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2020-07-11,2020,Protests,Peaceful protest,Protesters (Israel),,Israel,HaDarom,"On 11 July 2020, a protest was held in Eilat city, as part of nation wide protests calling for the resignation of the prime minister, the protests were organised by the 'Black Flag Movement'.",0,2020-Q3
2019-04-23,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 23 April 2019, an incendiary balloon launched from the Gaza Strip into Israel caused a fire in Kissufim.",0,2019-Q2
2019-03-22,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 22 March 2019, an incendiary balloon launched from Gaza into Israel and exploded in the Eshkol Regional council and caused a fire to break out. No injuries or damages were reported.",0,2019-Q1
2019-05-24,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 24 May 2019, an incendiary balloon launched from Gaza into Israel caused a fire to break out in Yakhini. No injuries were reported.",0,2019-Q2
2019-05-28,2019,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 28 May 2019, an incendiary balloon launched from Gaza into Israel caused a fire to break out in the Eshkol Regional council.",0,2019-Q2
2018-12-20,2018,Riots,Mob violence,Rioters (Israel),Civilians (Israel),Israel,HaMerkaz,"Around 20 December 2018, it was reported that 2 months prior a Haredi yeshiva student was assaulted by Arab Israelis in Ramla.",0,2018-Q4
2018-07-30,2018,Protests,Peaceful protest,Protesters (Israel),,Israel,Haifa,"Around 30 July 2018, a demonstration against the Nation State law was held in Haifa. Hundreds demonstrated against the law claiming that it is apartheid.",0,2018-Q3
2018-04-23,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Around 23 April 2018, kites carrying Molotov cocktails were launched from Gaza and set fires in two locations in southern Israel. One location was near Kissufim.",0,2018-Q2
2018-04-23,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"Around 23 April 2018, kites carrying Molotov cocktails were launched from Gaza and set fires in two locations in southern Israel. One location was near Sderot which burned about 100 dunams (100,000 square meters) of a wheat field.",0,2018-Q2
2018-05-30,2018,Explosions/Remote violence,Shelling/artillery/missile attack,PIJ: Palestinian Islamic Jihad,,Israel,HaDarom,"Around 30 May 2018 (as reported), 3 soldiers were reportedly injured when an Islamic Jihad/Hamas missile hit an Israeli military position of Sufa near Gaza.",0,2018-Q2
2020-08-13,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 13 August 2020, an unknown group fired an incendiary balloon at Eshkol near Magen, causing a fire. There were no casualties as a result.",0,2020-Q3
2020-08-14,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 14 August 2020, an unknown group fired an incendiary balloon at the Eshkol regional council, causing a fire. There were no casualties as a result.",0,2020-Q3
2020-08-15,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 15 August 2020, an unknown group fired an incendiary balloon at Eshkol near Magen, causing a fire. There were no casualties as a result.",0,2020-Q3
2020-08-30,2020,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 30 August 2020, an incendiary balloon fired by an unknown group from Gaza, caused a fire in Ofaqim.",0,2020-Q3
2018-05-02,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 2 May 2018, incendiary kites sent from Gaza sparked a large fire near Kibbutz Be'eri. It took firefighters hours to control the fire.",0,2018-Q2
2018-07-16,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 16 July 2018, incendiary devices launched from Gaza started four fires in southern Israel, including one near Ashkelon.",0,2018-Q3
2018-07-16,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 16 July 2018, incendiary devices launched from Gaza started at least four fires in southern Israel, including one near Karmia.",0,2018-Q3
2018-06-04,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 4 June 2018, fires sparked by incendiary kites from Gaza broke out near Netiv Ha'asara, Nir Am, and Sderdot.",0,2018-Q2
2018-06-26,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 26 June 2018, fires sparked by incendiary objects flown from Gaza were sparked in Kissufim forest.",0,2018-Q2
2018-06-16,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 16 June 2018, incendiary kites and balloons launched from Gaza sparked over 20 fires in Israel. Locations included Erez, Kissufim, Mefalsim, Re'im, Be'eri, an Israeli military post and a nature reserve near Nir Am.",0,2018-Q2
2018-09-24,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Unidentified Armed Group (Palestine),,Israel,HaDarom,"On 24 September 2018, 9 fires reportedly broke out in Kissufim were caused by incendiary devices launched from Gaza.",0,2018-Q3
