titolo,categoria,sponsor_stato,paesi_vittima,ruolo,data_evento,fonte_data_evento,descrizione,link
Siamesekitten,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,Siamesekitten was first detected using fake job postings and applications to phish software engineers in Israel. The attacker’s goal appeared to be to escalate access once it had compromised the initial networks and to launch phishing attacks against other individuals and organizations. The malware toolkit used in Siamesekitten’s attacks is geared towards reconnaissance.,https://www.cfr.org/cyber-operations/siamesekitten
Targeting of Israeli entities,Espionage,China,Israel,vittima,,da_estrarre_con_llm,"As part of a broader espionage campaign spanning multiple countries, Chinese-linked APT UNC215 inserted malware into Israeli government computers to extract data",https://www.cfr.org/cyber-operations/targeting-of-israeli-entities
Targeting of U.S. and Israeli medical researchers,Espionage,Iran (Islamic Republic of),"Israel, United States",vittima,,da_estrarre_con_llm,The Iranian threat actor Charming Kitten targeted medical researchers in the United States and Israel with spear-phishing techniques. The threat actor used a malicious Gmail account masquerading as a prominent Israeli physicist to trick targets into downloading malware.,https://www.cfr.org/cyber-operations/targeting-of-u-s-and-israeli-medical-researchers
Targeting of Israeli organizations with ransomware,Espionage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"Iranian hackers used the PowGoop downloader, delivered through phishing emails, and publicly known Microsoft Exchange server vulnerabilities to deliver Thanos ransomware.",https://www.cfr.org/cyber-operations/targeting-of-israeli-organizations-with-ransomware
Pioneer Kitten,Espionage,Iran (Islamic Republic of),"Iran (Islamic Republic of), Israel",vittima,,da_estrarre_con_llm,"Responsible for gathering sensitive and private information relevant to Iran. In addition to stalking Iranian expats and dissidents, Pioneer Kitten has targeted North American and Israeli technology, government, defense, and healthcare organizations. Pioneer Kitten is unlikely to be an official part of the Iranian government, and is more likely contracted to act on its behalf.",https://www.cfr.org/cyber-operations/pioneer-kitten
Targeting of defense companies in Israel and the Middle East,Espionage,Korea (Democratic People's Republic of),Israel,vittima,,da_estrarre_con_llm,Responsible for using social engineering and lofty job postings to coax employees into downloading malware that ultimately stole classified data.,https://www.cfr.org/cyber-operations/targeting-of-defense-companies-in-israel-and-the-middle-east
Targeting of Israeli water management facilities,Sabotage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,Hackers targeted two water pumps in Galilee and Mateh Yehuda. No real-world effects were reported as a result of the hacking operation. Israel’s government stated that no data had been stolen.,https://www.cfr.org/cyber-operations/targeting-of-israeli-water-management-facilities
Disruption of operations at Shahid Rajaee Port,Sabotage,Israel,Iran (Islamic Republic of),attore,,da_estrarre_con_llm,"Israel retaliated against Iran for targeting of Israeli water treatment and sewage facilities by launching a cyberattack against Iran’s Shahid Rajaee Port, disrupting its operations.",https://www.cfr.org/cyber-operations/disruption-of-operations-at-shahid-rajaee-port
Attack on Israeli water utilities,Sabotage,Iran (Islamic Republic of),Israel,vittima,,da_estrarre_con_llm,"Iranian hackers sought to cripple computers that control water flow and wastewater treatment for two rural districts in Israel. Israeli officials reported that the attack was quickly detected and defeated, preventing harm to water supplies.",https://www.cfr.org/cyber-operations/attack-on-israeli-water-utilities
Catfishing of Israeli soldiers,Espionage,"Palestine, State of",Israel,vittima,,da_estrarre_con_llm,The Hamas-associated threat actor APT-C-23 targeted Israeli soldiers by pretending to be women looking for romantic partners. Duped soldiers were then enticed to download apps that contained spyware onto their phones.,https://www.cfr.org/cyber-operations/catfishing-of-israeli-soldiers
