event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2019-08-27,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,"27 August. Workers of HEPCO manufacturing company protested outside in Arak against several months of unpaid salaries, and demanded the reopening of the factory.",0,2019-Q3
2019-08-28,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Kohgiluyeh and Boyer-Ahmad,28 August. About 80 municipality workers in Sisakht protested against several months of unpaid salaries.,0,2019-Q3
2019-08-28,2019,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,"28 August. Workers of HEPCO manufacturing company protested outside a judiciary branch in Arak against several months of unpaid salaries, and demanded the reopening of the factory.",0,2019-Q3
2018-05-07,2018,Battles,Armed clash,Police Forces of Iran (1989-),Unidentified Armed Group (Iran),Iran,Sistan and Baluchestan,"Police forces conducted an operation to arrest an infamous militant in Sistan and Balochestan Province, as reported on May 7. The target, Naser Baluch, was killed, and 4 others arrested; 2 of the others were injured.",1,2018-Q2
2018-05-30,2018,Battles,Armed clash,Unidentified Armed Group (Iran),Police Forces of Iran (1989-),Iran,Sistan and Baluchestan,"Police forces clashed with unidentified militants in the border county of Saravan, Sistan and Balochestan Province on May 30. One of the militants was killed. Forces seized many weapons and a suicide vest.",1,2018-Q2
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,Iranians rallied in several satellite towns on Tehran's outskirts to condemn riots and to support the Islamic Republic.,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,Iranians rallied in several satellite towns on Tehran's outskirts to condemn riots and to support the Islamic Republic.,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,Iranians rallied in several satellite towns on Tehran's outskirts to condemn riots and to support the Islamic Republic.,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,Iranians rallied in several satellite towns on Tehran's outskirts to condemn riots and to support the Islamic Republic.,0,2018-Q1
2018-01-05,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Tehran,Iranians rallied in several satellite towns on Tehran's outskirts to condemn riots and to support the Islamic Republic.,0,2018-Q1
2018-05-13,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Markazi,"A group of HEPCO (heavy equipment production company) workers staged a protest on May 13 in front of the company in Arak, Markazi Province against delayed payments and the uncertainty of the factory's future. One worker tried to commit suicide by jumping from a bridge, but was stopped.",0,2018-Q2
2018-05-09,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Qom,Students protested the US withdrawal from JCPOA in Qom on May 9.,0,2018-Q2
2018-01-08,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Qazvin,Iranians have staged demonstrations in several cities and towns for the sixth consecutive day to reiterate their support for the Islamic establishment and decry the recent wave of riots that hit some parts of the country.,0,2018-Q1
2018-01-02,2018,Battles,Armed clash,Unidentified Armed Group (Iran),Police Forces of Iran (1989-),Iran,Isfahan,"in Kahriz Sang, assailants armed with shotguns targeted two security guards, killing one of them and wounding the other.",1,2018-Q1
2018-01-08,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Golestan,Iranians have staged demonstrations in several cities and towns for the sixth consecutive day to reiterate their support for the Islamic establishment and decry the recent wave of riots that hit some parts of the country.,0,2018-Q1
2018-01-21,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Hamadan,Around 100 workers of Kian Cord gathered on Malayer-Arak highway and demanded a workers association to be founded.,0,2018-Q1
2018-02-17,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,Yazd,Taxi drivers gathered in front of Yazd's governorate to protest online taxies' activities.,0,2018-Q1
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,West Azerbaijan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,West Azerbaijan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,West Azerbaijan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,West Azerbaijan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Iran),,Iran,West Azerbaijan,"Protests were held across Iran--including Tehran, Mashhad, Orumiyeh, Khoy, Miandoab, Naqadeh, Shahin, Chaldoran, and parts of Kermanshah Province--on May 11 after Friday prayers in response to the US withdrawal from JCPOA. Some protesters burned the US and Israeli flags.",0,2018-Q2
