event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Tula,"On 5 May 2018, 50 people took part in a sanctioned rally in Tula as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Tyumen,"On 5 May 2018, 190-400 people took part in an unsanctioned protest in Tyumen as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-05,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Pskov,"On 5 May 2018, 10 people took part in an unsanctioned rally in Velikiye Luki as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF). 1 person was detained by the police forces of Russia. Participants mentionned that the police forces collected the documents of the participants only to return them after coming back from the police station.",0,2018-Q2
2018-05-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of Mari El,"On 5 May 2018, 70 people took part in an unsanctioned rally in Yoshkar-Ola as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,2018-Q2
2018-05-10,2018,Violence against civilians,Attack,Unidentified Armed Group (Russia),Civilians (Russia),Russia,Novosibirsk,"On the week of 10 May, a student of the branch of the Lunin College of Transport Technologies located in Barabinsk injurred three of his classmates in a school shooting and later committed suicide. 1 fatality, 3 casualties.",1,2018-Q2
2018-05-10,2018,Violence against civilians,Attack,Unidentified Armed Group (Russia),Civilians (Russia),Russia,Krasnodar,"On 10 May 2018, six unknown armed persons threatened two employees of the Anti-Corruption Foundation, Georgi Alburov and Vladislav Zdolnikov, in Sochi. The assaulters threatened the two civilians with their guns and said that they would 'take them to the mountains' if they do not leave the city.",0,2018-Q2
2018-05-10,2018,Violence against civilians,Attack,Police Forces of Russia (2000-),Civilians (Russia),Russia,Volgograd,"On 10 May 2018, a police officers broke the jaw of a detainee in Volgograd.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Krasnodar,"Around 11 May 2018, members of the Putin's Detachments burned a scarecrow depicting the President of the USA in Krasnodar, calling for the USA to stop its hostile actions towards Russia.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,"On 10-11 May, people from surrounding villages gathered in Shchelkanovo to protest against the redirection of waste to their district. This follows up protests earlier this year against the Yadrovo landfill and its toxic fumes, which the authorities are now trying to replace.",0,2018-Q2
2018-05-11,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Moscow Oblast,"On 10-11 May, people from surrounding villages gathered in Sychevo to demonstrate against the redirection of waste to their district. This follows up demonstrations earlier this year against the Yadrovo landfill and its toxic fumes, which the authorities are now trying to replace. Protesters blocked entrance to the Sychevsky mining and refining plant to prevent trucks from loading waste.",0,2018-Q2
2018-05-12,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novgorod,"On 12 May 2018, residents of Veliky Novgorod participated in a rally in Veliky Novgorod to support the construction of a kindergarten.",0,2018-Q2
