event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2022-08-23,2022,Strategic developments,Other,Government of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"Other: Around 23 August 2022, the Saudi Specialized Criminal Appeals Court in Riyadh sentenced the former imam of the Grand Mosque in Mecca -- Sheikh Saleh at Talib -- to ten years of imprisonment after overturning an acquittal received at first instance (coded to Riyadh). No reports were identified on the exact charges that were levied against him. Some organizations though claim that the prosecution was politically motivated because of the imam's criticism of the Saudi government.",0,2022-Q3
2022-09-27,2022,Strategic developments,Other,Government of Saudi Arabia (2015-),,Saudi Arabia,Ar Riyadh,"Other: On 27 September 2022, Saudi King Salman bin Abdulaziz issued a royal decree reshuffling the country's Council of Ministers. The decree appointed Crown Prince Muhammed bin Salman as Prime Minister, Prince Khalid bin Salman as Defense Minister, Prince Turki bin Muhammed bin Fahad bin Abdulaziz as State Minister, Prince Abdulaziz bin Turki Faisal as Sports Minister, and Youssef Al Benyan as Education Minister (coded to the capital Riyadh (Ar Riyadh). The position of Prime Minister delegated to MBS is a position that is typically held by the king.",0,2022-Q3
2022-10-20,2022,Strategic developments,Looting/property destruction,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Eastern,"Property destruction: On 20 October 2022, Saudi authorities (coded as police) began razing King Abdulaziz Road in Shiite-majority Al Qatif (Eastern) as part of an ongoing operation for demolitions in the area, targeting 521 houses and other properties, under the pretext of a multi-billion dollar development project. The operation displaced hundreds of residents and removed commercial shops, a mosque, and archaeological sites. According to NGOs and activists, the demolition was politically motivated against the region's Shiite residents due to the 2017-2020 period of unrest.",0,2022-Q4
2022-09-18,2022,Strategic developments,Looting/property destruction,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Eastern,"Property destruction: Around 18 September 2022 (as reported), Saudi authorities (coded as police) started the process of demolishing 119 houses in Al Awamiyah in Shiite-majority Al Qatif (Eastern) under the pretext of a project for the 'clean up' of the area and the improvement of its road traffic. This was denounced by activists are purposefully targeting the region's Shiite residents.",0,2022-Q3
2022-10-24,2022,Violence against civilians,Abduction/forced disappearance,Police Forces of Saudi Arabia (2015-) Prison Guards,Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"Around 24 October 2022, prison authorities subjected Saudi human rights defender Mohammed al Qahtani to an incommunicado detention, denying him contact with the outside world and refusing to disclose his location to his family, while he was completing his ten-year imprisonment sentence at Al Hair Prison in Riyadh (Ar Riyadh) over political charges. He was not released following the end of his imprisonment term on 22 November 2022, and the authorities continue to refuse to disclose his whereabouts as of January 2023.",0,2022-Q4
2023-02-22,2023,Strategic developments,Arrests,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Ar Riyadh,"On 22 February 2023, Saudi police forces arrested an unreported number of individuals who were driving in Riyadh and Hail provinces (Ar Riyadh) with tribal flags and banners, at least one of which belonged to the Shammar tribe, on Saudi Arabia's Founding Day. Police authorities indicated that the arrests took place because the banners 'stirred up tribal strife and destabilized national cohesion'.",0,2023-Q1
2023-02-22,2023,Strategic developments,Arrests,Police Forces of Saudi Arabia (2015-),Civilians (Saudi Arabia),Saudi Arabia,Hail,"On 22 February 2023, Saudi police forces arrested an unreported number of individuals who were driving in Riyadh and Hail provinces (Ar Riyadh) with tribal flags and banners, at least one of which belonged to the Shammar tribe, on Saudi Arabia's Founding Day. Police authorities indicated that the arrests took place because the banners 'stirred up tribal strife and destabilized national cohesion'.",0,2023-Q1
2022-04-17,2022,Violence against civilians,Abduction/forced disappearance,Police Forces of Saudi Arabia (2015-),Civilians (Yemen),Saudi Arabia,Ar Riyadh,"On 17 April 2022, Saudi security forces forcibly disappeared 1 Yemeni woman activist and her son in Al Nada neighborhood in Riyadh (Riyadh, Ar Riyadh). Their location remained unknown as of June 2023.",0,2022-Q2
2019-04-07,2019,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Eastern,"On 7 April 2019, Saudi security forces engaged in a firefight with wanted 'activist' elements in Al Qatif district (Eastern). There were no fatalities or injuries. Clashes resumed the day after killing 2 armed elements (coded as a separate event).",0,2019-Q2
2020-01-04,2020,Explosions/Remote violence,Air/drone strike,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,"On 4 January 2020, 8 Saudi airstrikes reportedly targeted MBC mountain and Al Qambur area (Jizan). No fatalities nor injuries reported.",0,2020-Q1
2020-01-03,2020,Explosions/Remote violence,Air/drone strike,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,"On 3 January 2020, 3 Saudi airstrikes reportedly targeted MBC mountain area (Jazan). No fatalities nor injuries reported.",0,2020-Q1
2019-05-11,2019,Battles,Armed clash,Police Forces of Saudi Arabia (2015-),Unidentified Armed Group (Saudi Arabia),Saudi Arabia,Eastern,"11 May 2019: Unidentified armed men opened fire at security forces in the Sanabis neighborhood of Qatif city, KSA, prompting clashes. 8 gunmen were killed in the ensuing gunbattle.",8,2019-Q2
2018-10-07,2018,Violence against civilians,Attack,Military Forces of Saudi Arabia (2015-),Civilians (Yemen),Saudi Arabia,Jizan,"After being attacked by Saudi naval and air forces off the coast of Eritrea on August 21, 11 Yemeni fishers were reportedly captured by Saudi forces and detained in a facility near Jizan port. During the three months of captivity for 8 of them (as of August 21, 2019, the fate of the 3 others remains unknown), they faced mistreatment that, according to HRW, 'amounted to torture'. One of the detainee for instance explained that for 15 days straight, he lost consciousness every night as he was beaten up.",0,2018-Q4
2023-07-17,2023,Strategic developments,Change to group/activity,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Asir,"Movement of forces: On 17 July 2023, Saudi forces deployed several air defense systems including US Patriot batteries and other Chinese-made systems to the border governorates with Yemen (coded to Asir at Abha, Jizan, and Najran governorates). The source speculated that the deployment was a preparation for military escalation with the Houthis or with UAE-backed groups in Hadramawt.",0,2023-Q3
2023-07-17,2023,Strategic developments,Change to group/activity,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Jizan,"Movement of forces: On 17 July 2023, Saudi forces deployed several air defense systems including US Patriot batteries and other Chinese-made systems to the border governorates with Yemen (coded to Asir at Abha, Jizan, and Najran governorates). The source speculated that the deployment was a preparation for military escalation with the Houthis or with UAE-backed groups in Hadramawt.",0,2023-Q3
2023-07-17,2023,Strategic developments,Change to group/activity,Military Forces of Saudi Arabia (2015-),,Saudi Arabia,Najran,"Movement of forces: On 17 July 2023, Saudi forces deployed several air defense systems including US Patriot batteries and other Chinese-made systems to the border governorates with Yemen (coded to Asir at Abha, Jizan, and Najran governorates). The source speculated that the deployment was a preparation for military escalation with the Houthis or with UAE-backed groups in Hadramawt.",0,2023-Q3
2018-01-15,2018,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2017-) Houthi,Military Forces of Saudi Arabia (2015-),Saudi Arabia,Jizan,In Jizan border province Pro-Houthi artillery shelled Saudi army gatherings in Abadiya and Hamda-alShamali area. Additional shelling hit Maseal valley.,0,2018-Q1
2018-01-21,2018,Battles,Armed clash,Military Forces of Yemen (2017-) Houthi,Military Forces of Saudi Arabia (2015-),Saudi Arabia,Jizan,"In Saudi Arabia's Jizan region, pro-Houthi forces claim to have shot and killed 4 Saudi soldiers in Hamidhah village. An IED was also detonated in the area.",4,2018-Q1
