fonte,paese_iso3,periodo,nome_file,url_originale,data_download,note
unhcr,VEN,2018-2024,VEN_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,VEN,2018-2024,VEN_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,USA,2018-2024,USA_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,USA,2018-2024,USA_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,ISR,2018-2024,ISR_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,ISR,2018-2024,ISR_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,KOR,2018-2024,KOR_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,KOR,2018-2024,KOR_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,SAU,2018-2024,SAU_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,SAU,2018-2024,SAU_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,ITA,2018-2024,ITA_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,ITA,2018-2024,ITA_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
unhcr,EST,2018-2024,EST_flusso-uscita-annuale_2018-2024.csv,"API UNHCR - population, coo aggregato su tutte le destinazioni",2026-07-07,
unhcr,EST,2018-2024,EST_destinazioni-dettaglio_2018-2024.csv,"API UNHCR - population, coa_all=true (dettaglio per paese destinazione)",2026-07-07,
worldbank,RUS,2018-2024,RUS_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,CHN,2018-2024,CHN_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,PRK,2018-2024,PRK_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,IRN,2018-2024,IRN_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,UKR,2018-2024,UKR_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,SDN,2018-2024,SDN_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,SSD,2018-2024,SSD_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,YEM,2018-2024,YEM_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,SYR,2018-2024,SYR_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,ETH,2018-2024,ETH_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,VEN,2018-2024,VEN_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,USA,2018-2024,USA_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,ISR,2018-2024,ISR_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,KOR,2018-2024,KOR_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,SAU,2018-2024,SAU_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,ITA,2018-2024,ITA_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
worldbank,EST,2018-2024,EST_poverta-annuale_2018-2024.csv,API World Bank - SI.POV.DDAY (poverty headcount ratio),2026-07-07,
acled,RUS,2018-2024,RUS_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,CHN,2018-2024,CHN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,PRK,2018-2024,PRK_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,IRN,2018-2024,IRN_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
acled,UKR,2018-2024,UKR_eventi-trimestrali_2018-2024.csv,aggregated data - political violence events by country-month-year,2026-07-07,
