event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-09-17,2018,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Addis Ababa,"17 September. Residents of Addis Abeba held massive protests condemning the killing of innocent civilians in the outskirts of the capital by Oromo youths. Protests were held in various subcities of Addis: Addis Ketema, Gullele, Kolfe Keran (Piazza and Jemo),Yeka (Lege Tafo), Nifas Silk, Addis (Meskel square). Five people were killed as police dispersed the demonstrations with force and 600 arrested. Five fatalities spread over six VAC events.",1,2018-Q3
2018-09-17,2018,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Oromia,"17 September. Residents of Addis Abeba held massive protests condemning the killing of innocent civilians in the outskirts of the capital by Oromo youths. Protests were held in various subcities of Addis: Addis Ketema, Gullele, Kolfe Keran (Piazza and Jemo),Yeka (Lege Tafo), Nifas Silk, Addis (Meskel square). Five people were killed as police dispersed the demonstrations with force and 600 arrested. Five fatalities spread over six VAC events.",1,2018-Q3
2018-10-04,2018,Battles,Armed clash,Police Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-),Ethiopia,Addis Ababa,"04 October. An unidentified policeman scuffled with other police officers in Bole costing the lives of four federal police officers, including his.",4,2018-Q4
2019-05-03,2019,Violence against civilians,Attack,Amhara Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Amhara,"03 May: An Amhara ethnic militia attacked Gumuz civilians in Awi zone, Amhara region in retaliation for violence in the Benishangul Gumuz region days earlier. 'Several dozens' of people were killed in the attack, some sources indicate as many as 200 people may have been killed. Fatalities recorded with conservative estimate of 36.",36,2019-Q2
2019-05-02,2019,Violence against civilians,Attack,Amhara Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Amhara,"02 May: An Amhara ethnic militia attacked Gumuz civilians in Awi zone, Amhara region in retaliation for violence in the Benishangul Gumuz region days earlier. 'Several dozens' of people were killed in the attack, some sources indicate as many as 200 people may have been killed. Fatalities recorded with conservative estimate of 36.",36,2019-Q2
2019-07-19,2019,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Sidama,"19 July: Demonstrators marched towards the police station in Hula Woreda (no coordinates available, in the Hagere Selam area) to protest the killing of youth, police forces opened fire killing 14 demonstrators.",14,2019-Q3
2020-06-30,2020,Riots,Violent demonstration,Rioters (Ethiopia),,Ethiopia,Oromia,"On 30 June 2020, Oromo youth rioted in the streets of Jima (Jimma, Oromia), following the killing of a popular Oromo musician, burning tires and blocking roads.",0,2020-Q2
2020-06-30,2020,Protests,Excessive force against protesters,Protesters (Ethiopia),Police Forces of Ethiopia (2018-),Ethiopia,Oromia,"On 30 June 2020, federal police in Ambo city (Oromia) fired live rounds into crowds of demonstrators. Figures from a local hospital indicate at least 9 fatalities occurred as a result of the event, with 10 additional wounded in critical condition. Demonstrators demanded that the body of a popular Oromo musician, killed the day before, be buried in the capital city of Addis Ababa.",9,2020-Q2
2019-06-15,2019,Riots,Violent demonstration,Rioters (Ethiopia),,Ethiopia,Addis Ababa,"On June 15 (or before), a mob attacked a Hong Kong Shoe Factory in Akaki Kality, damaging its building.",0,2019-Q2
2020-12-17,2020,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),Ethiopia,Benshangul/Gumuz,"On 17 December 2020, unidentified men from an ethnic militia attacked ethnic Amhara civilians in Dibate and Dangur woredas, Metekel zone, killing an unspecified number of people. Unknown fatalities coded as 3 in a non-conflict zone and spread across two locations.",2,2020-Q4
